itime,date,time,devid,vd,type,subtype,action,attack,attackid,bid,crlevel,crscore,devname,direction,dstintf,dstintfrole,dstip,dstport,dvid,eventtime,eventtype,incidentserialno,level,logid,logver,msg,policyid,profile,proto,ref,service,sessionid,severity,srccountry,srcintf,srcintfrole,srcip,srcport
1596088823,2020-07-30,13:00:21,FG5H0E5818901388,SERVICES,utm,ips,dropped,Gh0st.Rat.Botnet,38503,25352949,critical,50,BSD-FW-A,outgoing,port10,undefined,172.30.61.125,443,1031,1596088822,signature,1004055988,alert,0419016384,56,"""backdoor: Gh0st.Rat.Botnet,""",126,default,6,http://www.fortinet.com/ids/VID38503,HTTPS,1622806203,critical,"""United States""",vw1,undefined,66.240.205.34,35546
1596028848,2020-07-29,20:20:47,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25328305,high,30,BSD-FW-A,outgoing,port10,undefined,103.20.51.34,443,1031,1596028847,signature,1469302810,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",172,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1617710358,high,"""United States""",vw1,undefined,63.134.149.24,45884
1596023813,2020-07-29,18:56:51,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25326221,high,30,BSD-FW-A,outgoing,port10,undefined,172.30.61.123,443,1031,1596023811,signature,539151512,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",300,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1617253746,high,Canada,vw1,undefined,184.68.253.202,56968
1595982058,2020-07-29,07:20:57,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25308358,high,30,BSD-FW-A,outgoing,port10,undefined,172.30.61.124,443,1031,1595982057,signature,1004045498,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",233,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1613214634,high,Canada,vw1,undefined,184.68.253.202,45309
1595936412,2020-07-28,18:40:12,FG5H0E5818901388,SERVICES,utm,ips,dropped,Gh0st.Rat.Botnet,38503,25289678,critical,50,BSD-FW-A,outgoing,port10,undefined,172.30.61.123,443,1031,1595936412,signature,1929820894,alert,0419016384,56,"""backdoor: Gh0st.Rat.Botnet,""",300,default,6,http://www.fortinet.com/ids/VID38503,HTTPS,1609872709,critical,"""United States""",vw1,undefined,66.240.205.34,57678
1595849319,2020-07-27,18:28:39,FG5H0E5818901388,SERVICES,utm,ips,dropped,Bladabindi.Botnet,38856,25253473,critical,50,BSD-FW-A,outgoing,port10,undefined,103.20.51.34,443,1031,1595849319,signature,1004034308,alert,0419016384,56,"""backdoor: Bladabindi.Botnet,""",172,default,6,http://www.fortinet.com/ids/VID38856,HTTPS,1602555060,critical,"""United States""",vw1,undefined,66.240.205.34,52724
1595812008,2020-07-27,08:06:47,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25237873,high,30,BSD-FW-A,outgoing,port11,undefined,172.30.81.121,443,1031,1595812007,signature,539132238,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",232,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1598864583,high,"""United States""",vw1,undefined,63.134.149.24,35129
1595798022,2020-07-27,04:13:38,FG5H0E5818901388,SERVICES,utm,ips,dropped,Bladabindi.Botnet,38856,25232404,critical,50,BSD-FW-A,outgoing,port10,undefined,103.20.51.33,443,1031,1595798018,signature,692923370,alert,0419016384,56,"""backdoor: Bladabindi.Botnet,""",130,default,6,http://www.fortinet.com/ids/VID38856,HTTPS,1597891220,critical,"""United States""",vw1,undefined,66.240.205.34,54502
1595739275,2020-07-26,11:54:34,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25209208,high,30,BSD-FW-A,outgoing,port10,undefined,172.30.61.124,443,1031,1595739274,signature,692918504,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",233,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1593760328,high,"""Hong Kong""",vw1,undefined,35.220.228.17,60300
1595730587,2020-07-26,09:29:46,FG5H0E5818901388,SERVICES,utm,ips,dropped,Gh0st.Rat.Botnet,38503,25205788,critical,50,BSD-FW-A,outgoing,port11,undefined,172.30.81.121,443,1031,1595730586,signature,692917652,alert,0419016384,56,"""backdoor: Gh0st.Rat.Botnet,""",232,default,6,http://www.fortinet.com/ids/VID38503,HTTPS,1593123041,critical,"""United States""",vw1,undefined,66.240.205.34,55958
1595726468,2020-07-26,08:21:07,FG5H0E5818901388,SERVICES,utm,ips,dropped,Gh0st.Rat.Botnet,38503,25204131,critical,50,BSD-FW-A,outgoing,port10,undefined,103.20.51.33,443,1031,1595726468,signature,539125167,alert,0419016384,56,"""backdoor: Gh0st.Rat.Botnet,""",130,default,6,http://www.fortinet.com/ids/VID38503,HTTPS,1592846691,critical,"""United States""",vw1,undefined,66.240.205.34,53840
1595725340,2020-07-26,08:02:17,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25203669,high,30,BSD-FW-A,outgoing,port10,undefined,103.20.51.33,443,1031,1595725337,signature,1151735620,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",130,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1592771139,high,China,vw1,undefined,49.233.176.98,47922
1595725340,2020-07-26,08:02:17,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25203669,high,30,BSD-FW-A,outgoing,port10,undefined,103.20.51.33,443,1031,1595725337,signature,1469275896,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",130,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1592771123,high,China,vw1,undefined,49.233.176.98,47860
1595720169,2020-07-26,06:36:08,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25201635,high,30,BSD-FW-A,outgoing,port10,undefined,172.30.61.125,443,1031,1595720168,signature,692916753,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",126,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1592444803,high,Jamaica,vw1,undefined,208.138.25.30,50238
1595668090,2020-07-25,16:08:09,FG5H0E5818901388,SERVICES,utm,ips,dropped,Mirai.Botnet,43191,25181266,high,30,BSD-FW-A,outgoing,port10,undefined,172.30.61.124,443,1031,1595668089,signature,539120718,alert,0419016384,56,"""backdoor: Mirai.Botnet,""",233,default,6,http://www.fortinet.com/ids/VID43191,HTTP,1588963469,high,"""Hong Kong""",vw1,undefined,35.220.228.17,45282
1595620983,2020-07-25,03:03:02,FG5H0E5818901388,SERVICES,utm,ips,dropped,Bladabindi.Botnet,38856,25162827,critical,50,BSD-FW-A,outgoing,port10,undefined,103.20.51.71,443,1031,1595620982,signature,1004015522,alert,0419016384,56,"""backdoor: Bladabindi.Botnet,""",127,default,6,http://www.fortinet.com/ids/VID38856,HTTPS,1585639121,critical,"""United States""",vw1,undefined,66.240.205.34,47346
